"vid","hhid","enid","floor","roof","walls","water","enegry","rel_head","female_head","hh_size","n_child_5","n_child_17","n_adult","n_elder","read","sick","food_cons","nonfood_cons","farm","ar_farm","ar_farm_unit","crop","crop_other","crop_prp","livestock_now","livestock_before","drought_flood","crop_damage","trust_mem","trust_lead","assoc","health","duration","submissionday","key","area_acre","food_cons_usd","nonfood_cons_usd","area_acre_w","food_cons_usd_w","nonfood_cons_usd_w","treatment","district","district_name"
1,9122,818,1,2,1,1,1,4,0,4,0,1,1,2,0,1,595400,13600,1,0.5,"Acre",77,NA,NA,0,10,0,0,0,0,1,1,66,"2009-02-27T16:00:58Z","fxy1870677Fzo",0.5,220.298,5.032,0.5,220.298,5.032,0,2,"Bagamoyo"
1,9111,420,1,2,1,4,1,4,1,10,1,3,3,3,0,0,1955200,69926,1,1.21408336705787,"Hectare",40,"Coconut Trees",2,19,21,1,1,1,1,NA,0,111,"2009-02-28T11:14:02Z","ojM1236794YFp",3.00006070416835,723.424,25.87262,3.00006070416835,606.10329,25.87262,0,2,"Bagamoyo"
1,9120,805,1,2,1,7,1,4,0,2,0,0,1,1,1,0,183820,7500,1,0.25,"Acre",41,"Sesame",1,6,0,0,1,1,1,0,0,77,"2009-02-28T13:06:08Z","YTf1575975ERA",0.25,68.0134,2.775,0.25,68.0134,2.775,0,2,"Bagamoyo"
1,9113,823,1,2,1,1,1,4,1,2,0,1,0,1,1,1,373620,94000,1,1.5,"Acre",6,NA,1,0,0,1,0,0,1,0,1,93,"2009-02-27T14:30:52Z","yWN1990786oGp",1.5,138.2394,34.78,1.5,138.2394,34.78,0,2,"Bagamoyo"
1,9119,621,1,4,1,1,1,4,0,4,0,0,2,2,1,0,1006200,364600,1,1,"Acre",4,NA,3,2,0,1,0,1,1,0,0,106,"2009-02-28T10:49:07Z","QZE1780236UGM",1,372.294,134.902,1,372.294,134.902,0,2,"Bagamoyo"
1,9112,420,1,2,1,1,1,4,0,7,1,1,4,1,1,1,1014000,86400,1,2,"Acre",9,NA,1,4,6,1,1,1,1,0,0,118,"2009-02-28T13:38:04Z","GxT1431564xMi",2,375.18,31.968,2,375.18,31.968,0,2,"Bagamoyo"
1,9109,828,1,4,1,1,1,4,1,5,1,2,1,1,1,0,1842360,342630,1,1,"Acre",9,NA,1,3,11,1,1,1,1,0,0,127,"2009-02-27T17:03:47Z","NEm1723098HAd",1,681.6732,126.7731,1,606.10329,126.7731,0,2,"Bagamoyo"
1,9106,828,4,4,4,1,1,4,0,8,2,0,3,3,1,0,1669252,147501,1,1.41643059490085,"Hectare",5,NA,1,1,3,1,0,1,1,1,0,162,"2009-02-27T14:07:24Z","GvD1763351qHU",3.50007082152975,617.62324,54.57537,3.50007082152975,606.10329,54.57537,0,2,"Bagamoyo"
1,9104,621,1,2,5,2,1,4,0,2,0,0,0,2,0,0,514800,117800,1,1.01173613921489,"Hectare",4,NA,3,1,0,0,0,0,1,0,1,99,"2009-02-27T12:17:57Z","Fyn1564708enK",2.50005058680695,190.476,43.586,2.50005058680695,190.476,43.586,0,2,"Bagamoyo"
1,9121,823,1,4,1,1,1,4,1,7,3,0,3,1,1,0,1903200,553500,1,1.61877782274383,"Hectare",5,NA,3,7,20,1,0,0,0,0,0,134,"2009-02-28T11:07:49Z","tEv1664479MuE",4.00008093889114,704.184,204.795,4.00008093889114,606.10329,196.3479,0,2,"Bagamoyo"
1,9114,823,1,2,1,1,1,4,1,4,1,0,2,1,1,1,1180400,180140,1,0.25,"Acre",9,NA,1,0,0,1,1,0,1,0,0,133,"2009-02-27T12:41:22Z","BrJ1842766iKW",0.25,436.748,66.6518,0.25,436.748,66.6518,0,2,"Bagamoyo"
1,9105,805,1,2,1,7,1,4,0,5,1,0,3,1,1,0,744380,37600,1,0.75,"Acre",34,NA,1,4,7,1,0,1,1,0,0,83,"2009-02-27T12:57:43Z","BNa1418306uSF",0.75,275.4206,13.912,0.75,275.4206,13.912,0,2,"Bagamoyo"
1,9102,805,1,2,1,7,1,4,0,6,3,0,2,1,1,1,521300,41700,1,1.21408336705787,"Hectare",34,NA,1,2,9,0,1,1,1,0,0,100,"2009-02-27T14:47:54Z","LlC1900619MRg",3.00006070416835,192.881,15.429,3.00006070416835,192.881,15.429,0,2,"Bagamoyo"
1,9118,621,1,2,1,1,1,4,0,3,1,0,2,0,0,1,689000,37800,1,1,"Acre",1,NA,1,2,7,1,1,1,1,0,0,99,"2009-02-27T14:33:20Z","SXl1150665wtG",1,254.93,13.986,1,254.93,13.986,0,2,"Bagamoyo"
1,9117,420,1,4,1,5,1,4,1,5,0,3,1,1,0,1,513240,72300,1,0.25,"Acre",15,NA,1,0,0,1,0,0,0,0,0,85,"2009-02-27T13:14:52Z","mAv1462385ozA",0.25,189.8988,26.751,0.25,189.8988,26.751,0,2,"Bagamoyo"
1,9101,828,1,2,5,5,1,4,0,1,0,0,0,1,1,1,263900,97280,1,1.5,"Acre",15,NA,1,0,0,1,1,0,1,1,1,78,"2009-02-28T10:41:05Z","NgE1000979iaH",1.5,97.643,35.9936,1.5,97.643,35.9936,0,2,"Bagamoyo"
1,9108,818,1,4,4,4,1,4,0,11,0,6,4,1,1,0,1380600,102100,1,2,"Acre",9,NA,1,11,7,1,1,0,1,1,1,108,"2009-02-27T14:40:59Z","ekS1205094vOP",2,510.822,37.777,2,510.822,37.777,0,2,"Bagamoyo"
1,9103,823,1,2,1,1,1,4,1,3,0,0,0,3,1,0,427700,55700,1,0.75,"Acre",9,NA,1,0,0,1,0,0,1,NA,0,89,"2009-02-27T16:17:08Z","XzQ1000817FbT",0.75,158.249,20.609,0.75,158.249,20.609,0,2,"Bagamoyo"
1,9110,828,1,2,5,5,1,4,1,3,0,1,0,2,0,0,366600,37100,1,0.5,"Acre",15,NA,1,0,0,1,0,NA,NA,0,1,102,"2009-02-28T12:47:00Z","yxb1507610bdc",0.5,135.642,13.727,0.5,135.642,13.727,0,2,"Bagamoyo"
1,9116,805,1,2,1,7,1,4,1,7,2,2,1,2,1,0,1003600,37900,1,0.5,"Acre",34,NA,1,4,6,1,0,1,1,0,0,132,"2009-02-28T11:26:52Z","EzM1415763IiG",0.5,371.332,14.023,0.5,371.332,14.023,0,2,"Bagamoyo"
1,9115,420,1,4,1,6,1,4,0,5,1,1,2,1,1,1,713180,206700,1,0.5,"Acre",5,NA,1,2,5,1,1,1,1,0,0,89,"2009-02-27T15:07:50Z","Igz1043528Zev",0.5,263.8766,76.479,0.5,263.8766,76.479,0,2,"Bagamoyo"
1,9107,818,1,2,1,9,1,4,0,1,0,0,0,1,1,0,317200,147600,0,NA,NA,NA,NA,NA,0,0,1,1,1,1,0,0,50,"2009-02-27T12:31:33Z","Zkx1922963EKb",0,117.364,54.612,0,117.364,54.612,0,2,"Bagamoyo"
2,9216,823,1,2,1,1,1,5,0,8,1,1,4,2,1,1,1206400,567900,1,1.21408336705787,"Hectare",11,NA,1,3,8,1,0,0,0,0,0,122,"2009-02-20T15:51:55Z","ydm1552638cNj",3.00006070416835,446.368,210.123,3.00006070416835,446.368,196.3479,1,2,"Bagamoyo"
2,9221,805,1,4,1,1,1,4,0,4,0,1,0,3,1,0,414700,14900,1,1,"Acre",5,NA,3,3,7,0,0,1,1,0,1,100,"2009-02-19T14:03:03Z","bKK1393864MaX",1,153.439,5.513,1,153.439,5.513,1,2,"Bagamoyo"
2,9208,818,1,4,1,2,1,4,1,3,0,2,1,0,0,0,2002000,172300,1,2,"Acre",34,NA,1,0,5,0,0,0,1,0,1,94,"2009-02-20T15:51:28Z","KlT1592425Eoa",2,740.74,63.751,2,606.10329,63.751,1,2,"Bagamoyo"
2,9211,420,1,2,1,1,1,4,0,6,1,2,3,0,1,0,1253200,185600,1,0.25,"Acre",11,NA,2,3,7,1,1,1,1,0,0,101,"2009-02-20T12:34:45Z","Wtp1119314aKV",0.25,463.684,68.672,0.25,463.684,68.672,1,2,"Bagamoyo"
2,9206,818,1,4,5,2,1,1,0,2,0,0,2,0,1,0,787280,193750,1,1,"Acre",11,NA,3,8,16,0,1,0,1,0,0,83,"2009-02-20T13:53:36Z","TsY1191710KZc",1,291.2936,71.6875,1,291.2936,71.6875,1,2,"Bagamoyo"
2,9220,420,1,2,1,1,1,4,1,3,0,0,1,2,0,1,371800,32900,1,2,"Acre",11,NA,1,3,3,0,1,0,1,NA,0,68,"2009-02-20T14:10:39Z","qTK1806568GQG",2,137.566,12.173,2,137.566,12.173,1,2,"Bagamoyo"
2,9210,420,1,2,1,2,1,1,0,2,0,0,0,2,0,0,837200,41600,1,0.25,"Acre",1,NA,1,20,30,0,1,0,1,1,0,69,"2009-02-20T10:15:13Z","gOp1733552zGz",0.25,309.764,15.392,0.25,309.764,15.392,1,2,"Bagamoyo"
2,9214,828,1,4,1,2,1,1,0,2,0,0,1,1,1,1,670280,89300,1,1.5,"Acre",34,NA,1,3,2,0,1,NA,1,0,1,109,"2009-02-19T14:12:39Z","bFj1354832bpt",1.5,248.0036,33.041,1.5,248.0036,33.041,1,2,"Bagamoyo"
2,9212,420,1,4,1,2,1,4,0,3,0,1,0,2,1,0,600600,96700,1,1,"Acre",11,NA,3,5,5,0,1,0,0,0,0,93,"2009-02-19T14:20:32Z","lxi1134234JDp",1,222.222,35.779,1,222.222,35.779,1,2,"Bagamoyo"
2,9203,621,1,4,1,2,1,2,0,1,0,0,0,1,1,0,256100,38300,1,0.75,"Acre",11,NA,2,0,11,1,0,1,1,0,0,72,"2009-02-19T13:50:11Z","ngM1922297BZK",0.75,94.757,14.171,0.75,94.757,14.171,1,2,"Bagamoyo"
2,9215,823,1,4,1,1,1,1,0,4,0,2,2,0,1,0,1292200,417400,1,1.5,"Acre",1,NA,1,0,0,1,1,0,1,0,0,95,"2009-02-20T10:01:54Z","JiF1234668tkf",1.5,478.114,154.438,1.5,478.114,154.438,1,2,"Bagamoyo"
2,9222,805,1,1,4,2,1,4,0,1,0,0,0,1,1,1,453700,45900,1,1,"Acre",32,NA,3,0,0,1,1,0,1,0,0,71,"2009-02-20T09:35:49Z","Cka1859934gFK",1,167.869,16.983,1,167.869,16.983,1,2,"Bagamoyo"
2,9218,621,1,4,1,2,1,1,1,4,0,1,1,2,1,1,691600,143400,1,1,"Acre",11,NA,1,7,1,0,1,1,1,0,0,95,"2009-02-20T09:50:28Z","gIl1360864YXs",1,255.892,53.058,1,255.892,53.058,1,2,"Bagamoyo"
2,9219,823,1,4,1,1,1,4,0,11,1,5,3,2,1,0,2243800,343300,1,1.21408336705787,"Hectare",11,NA,1,7,10,1,1,0,0,0,0,159,"2009-02-19T16:04:58Z","RPb1030597MHw",3.00006070416835,830.206,127.021,3.00006070416835,606.10329,127.021,1,2,"Bagamoyo"
2,9201,818,1,2,1,2,1,6,0,6,1,2,1,2,1,0,821600,171300,1,2.42816673411574,"Hectare",11,NA,1,10,20,1,1,0,1,0,0,116,"2009-02-19T15:04:17Z","WXZ1866660PrA",6.0001214083367,303.992,63.381,5.00010117361393,303.992,63.381,1,2,"Bagamoyo"
2,9204,621,1,4,1,2,1,1,0,2,0,0,0,2,1,0,289900,64400,1,1,"Acre",34,NA,1,0,0,0,0,1,1,0,0,85,"2009-02-20T11:23:46Z","FeH1962081Xjf",1,107.263,23.828,1,107.263,23.828,1,2,"Bagamoyo"
2,9209,828,1,4,1,1,1,1,0,2,0,0,0,2,1,1,354640,365500,1,2,"Acre",11,NA,1,7,20,1,0,1,1,0,0,93,"2009-02-20T11:44:46Z","ukW1396543Tqq",2,131.2168,135.235,2,131.2168,135.235,1,2,"Bagamoyo"
2,9217,823,1,4,1,1,1,1,0,10,2,2,2,4,1,1,1284400,310940,1,2,"Acre",11,NA,1,0,0,1,0,0,1,0,0,185,"2009-02-20T13:29:19Z","jig1664423lXq",2,475.228,115.0478,2,475.228,115.0478,1,2,"Bagamoyo"
2,9205,818,1,2,1,9,1,6,0,4,0,2,1,1,1,0,468000,100,1,1,"Acre",11,NA,1,6,10,1,1,1,1,0,0,116,"2009-02-20T11:40:53Z","Evw1944780Voy",1,173.16,0.037,1,173.16,0.555,1,2,"Bagamoyo"
